AFGHANISTAN,Afghani,AFN,USD
ALBANIA,Lek,ALL,USD
ALGERIA,Algerian Dinar,DZD,USD
ANGOLA,Kwanza,AOA,USD
ARGENTINA,Argentine Peso,ARS,USD
ARMENIA,Armenian Dram,AMD,USD
AUSTRALIA,Australian Dollar,AUD,XDR
AUSTRIA,Euro,EUR,XDR
AZERBAIJAN,Azerbaijanian Manat,AZN,USD
BAHAMAS,Bahamian Dollar,BSD,USD
BANGLADESH,Taka,BDT,USD
BELARUS,Belarusian Ruble,BYN,USD
BELGIUM,Euro,EUR,XDR
BELIZE,Belize Dollar,BZD,USD
BENIN,CFA Franc BCEAO,XOF,USD
BHUTAN,Ngultrum,BTN,USD
BOLIVIA,Boliviano,BOB,USD
BOSNIA AND HERZ.,Convertible Mark,BAM,USD
BOTSWANA,Pula,BWP,XDR
BRAZIL,Brazilian Real,BRL,XDR
BRUNEI,Brunei Dollar,BND,XDR
BULGARIA,Bulgarian Lev,BGN,USD
BURKINA FASO,CFA Franc BCEAO,XOF,USD
BURUNDI,Burundi Franc,BIF,USD
CAMBODIA,Riel,KHR,USD
CAMEROON,CFA Franc BEAC,XAF,USD
CANADA,Canadian Dollar,CAD,XDR
CENTRAL AFRICAN REP.,CFA Franc BEAC,XAF,USD
CHAD,CFA Franc BEAC,XAF,USD
CHILE,Chilean Peso,CLP,XDR
CHINA,Yuan Renminbi,CNY,XDR
COLOMBIA,Colombian Peso,COP,XDR
CONGO (BRAZZAVILLE),CFA Franc BEAC,XAF,USD
CONGO (KINSHASA),Congolese Franc,CDF,USD
COSTA RICA,Costa Rican Colon,CRC,USD
CROATIA,Kuna,HRK,USD
CUBA,Cuban Peso,CUP,USD
CYPRUS,Euro,EUR,XDR
CZECH REP.,Czech Koruna,CZK,XDR
DENMARK,Danish Krone,DKK,XDR
DJIBOUTI,Djibouti Franc,DJF,USD
DOMINICAN REP.,Dominican Peso,DOP,USD
EAST TIMOR,US Dollar,USD,XDR
ECUADOR,US Dollar,USD,XDR
EGYPT,Egyptian Pound,EGP,USD
EL SALVADOR,El Salvador Colon,SVC,USD
EQ. GUINEA,CFA Franc BEAC,XAF,USD
ERITREA,Nakfa,ERN,USD
ESTONIA,Euro,EUR,XDR
ETHIOPIA,Ethiopian Birr,ETB,USD
FALKLAND IS.,Falkland Islands Pound,FKP,USD
FIJI,Fiji Dollar,FJD,USD
FINLAND,Euro,EUR,XDR
FRANCE,Euro,EUR,XDR
GABON,CFA Franc BEAC,XAF,USD
GAMBIA,Dalasi,GMD,USD
GEORGIA,Lari,GEL,USD
GERMANY,Euro,EUR,XDR
GHANA,Ghana Cedi,GHS,USD
GREECE,Euro,EUR,XDR
GREENLAND,Danish Krone,DKK,XDR
GUATEMALA,Quetzal,GTQ,USD
GUINEA,Guinea Franc,GNF,USD
GUINEA BISSAU,CFA Franc BCEAO,XOF,USD
GUYANA,Guyana Dollar,GYD,USD
HAITI,Gourde,HTG,USD
HONDURAS,Lempira,HNL,USD
HUNGARY,Forint,HUF,XDR
ICELAND,Iceland Krona,ISK,XDR
INDIA,Indian Rupee,INR,XDR
INDONESIA,Rupiah,IDR,USD
IRAN,Iranian Rial,IRR,USD
IRAQ,Iraqi Dinar,IQD,USD
IRELAND,Euro,EUR,XDR
ISRAEL,New Israeli Sheqel,ILS,XDR
ITALY,Euro,EUR,XDR
IVORY COAST,CFA Franc BCEAO,XOF,USD
JAMAICA,Jamaican Dollar,JMD,USD
JAPAN,Yen,JPY,XDR
JORDAN,Jordanian Dinar,JOD,USD
KAZAKHSTAN,Tenge,KZT,USD
KENYA,Kenyan Shilling,KES,USD
KUWAIT,Kuwaiti Dinar,KWD,XDR
KYRGYZSTAN,Som,KGS,USD
LAOS,Kip,LAK,USD
LATVIA,Euro,EUR,XDR
LEBANON,Lebanese Pound,LBP,USD
LESOTHO,Loti,LSL,USD
LIBERIA,Liberian Dollar,LRD,USD
LIBYA,Libyan Dinar,LYD,XDR
LITHUANIA,Euro,EUR,XDR
LUXEMBOURG,Euro,EUR,XDR
MACEDONIA,Denar,MKD,USD
MADAGASCAR,Malagasy Ariary,MGA,USD
MALAWI,Malawi Kwacha,MWK,USD
MALAYSIA,Malaysian Ringgit,MYR,XDR
MALI,CFA Franc BCEAO,XOF,USD
MAURITANIA,Ouguiya,MRO,USD
MEXICO,Mexican Peso,MXN,XDR
MOLDOVA,Moldovan Leu,MDL,USD
MONGOLIA,Tugrik,MNT,USD
MONTENEGRO,Euro,EUR,XDR
MOROCCO,Moroccan Dirham,MAD,USD
MOZAMBIQUE,Mozambique Metical,MZN,USD
MYANMAR,Kyat,MMK,USD
N. CYPRUS,Turkish Lira,TRY,USD
N. KOREA,North Korean Won,KPW,USD
NAMIBIA,Namibia Dollar,NAD,USD
NEPAL,Nepalese Rupee,NPR,XDR
NETHERLANDS,Euro,EUR,XDR
NEW CALEDONIA,CFP Franc,XPF,USD
NEW ZEALAND,New Zealand Dollar,NZD,XDR
NICARAGUA,Cordoba Oro,NIO,USD
NIGER,CFA Franc BCEAO,XOF,USD
NIGERIA,Naira,NGN,USD
NORWAY,Norwegian Krone,NOK,XDR
OMAN,Rial Omani,OMR,XDR
PAKISTAN,Pakistan Rupee,PKR,XDR
PANAMA,Balboa,PAB,USD
PAPUA NEW GUINEA,Kina,PGK,USD
PARAGUAY,Guarani,PYG,USD
PERU,Sol,PEN,USD
PHILIPPINES,Philippine Peso,PHP,USD
POLAND,Zloty,PLN,XDR
PORTUGAL,Euro,EUR,XDR
PUERTO RICO,US Dollar,USD,XDR
QATAR,Qatari Rial,QAR,XDR
ROMANIA,Romanian Leu,RON,USD
RUSSIA,Russian Ruble,RUB,USD
RWANDA,Rwanda Franc,RWF,USD
S. KOREA,Won,KRW,XDR
S. SUDAN,South Sudanese Pound,SSP,USD
SAUDI ARABIA,Saudi Riyal,SAR,XDR
SENEGAL,CFA Franc BCEAO,XOF,USD
SERBIA,Serbian Dinar,RSD,USD
SIERRA LEONE,Leone,SLL,USD
SLOVAKIA,Euro,EUR,XDR
SLOVENIA,Euro,EUR,XDR
SOLOMON IS.,Solomon Islands Dollar,SBD,USD
SOMALIA,Somali Shilling,SOS,USD
SOUTH AFRICA,Rand,ZAR,XDR
SPAIN,Euro,EUR,XDR
SRI LANKA,Sri Lanka Rupee,LKR,XDR
SUDAN,Sudanese Pound,SDG,USD
SURINAME,Surinam Dollar,SRD,USD
SWAZILAND,Lilangeni,SZL,USD
SWEDEN,Swedish Krona,SEK,XDR
SWITZERLAND,Swiss Franc,CHF,XDR
SYRIA,Syrian Pound,SYP,USD
TAIWAN,New Taiwan Dollar,TWD,USD
TAJIKISTAN,Somoni,TJS,USD
TANZANIA,Tanzanian Shilling,TZS,USD
THAILAND,Baht,THB,XDR
TOGO,CFA Franc BCEAO,XOF,USD
TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,XDR
TUNISIA,Tunisian Dinar,TND,USD
TURKEY,Turkish Lira,TRY,USD
TURKMENISTAN,Turkmenistan New Manat,TMT,USD
UGANDA,Uganda Shilling,UGX,USD
UKRAINE,Hryvnia,UAH,USD
UNITED ARAB EMIRATES,UAE Dirham,AED,XDR
UNITED KINGDOM,Pound Sterling,GBP,XDR
UNITED STATES,US Dollar,USD,XDR
URUGUAY,Peso Uruguayo,UYU,USD
UZBEKISTAN,Uzbekistan Sum,UZS,USD
VANUATU,Vatu,VUV,USD
VENEZUELA,Bol,VEF,XDR
VIETNAM,Dong,VND,USD
W. SAHARA,Moroccan Dirham,MAD,USD
YEMEN,Yemeni Rial,YER,USD
ZAMBIA,Zambian Kwacha,ZMW,USD
ZIMBABWE,Zimbabwe Dollar,ZWL,USD
